position,noseX,noseY,neckX,neckY,rshoulderX,rshoulderY,relbowX,relbowY,rwristX,rwristY,lshoulderX,lshoulderY,lelbowX,lelbowY,lwristX,lwristY,midhipX,midhipY,rhipX,rhipY,rkneeX,rkneeY,rankleX,rankleY,lhipX,lhipY,lkneeX,lkneeY,lankleX,lankleY,reyeX,reyeY,leyeX,leyeY
laying,0.032407407,0.826086957,0.041666667,0.788043478,0.018518519,0.782608696,0,0,0,0,0.074074074,0.793478261,0.106481481,0.777173913,0.106481481,0.744565217,0.018518519,0.722826087,0.023148148,0.679347826,0,0,0.041666667,0.711956522,0.027777778,0.679347826,0.013888889,0.505434783,0.032407407,0.831521739,0.037037037,0.831521739,0,0
laying,0.078703704,0.847826087,0.074074074,0.820652174,0.055555556,0.831521739,0.032407407,0.798913043,0,0,0.101851852,0.815217391,0.106481481,0.766304348,0.087962963,0.809782609,0.032407407,0.75,0.013888889,0.684782609,0,0,0.055555556,0.739130435,0.037037037,0.663043478,0.013888889,0.581521739,0.078703704,0.85326087,0.087962963,0.85326087,0,0
laying,0.828703704,0.445652174,0.75462963,0.347826087,0.726851852,0.440217391,0,0,0,0,0.782407407,0.255434783,0.62962963,0.201086957,0.467592593,0.179347826,0.509259259,0.456521739,0,0,0,0,0.402777778,0.461956522,0.097222222,0.635869565,0.074074074,0.239130435,0.847222222,0.451086957,0.861111111,0.423913043,0,0
laying,0.828703704,0.445652174,0.75462963,0.347826087,0.726851852,0.440217391,0,0,0,0,0.782407407,0.255434783,0.62962963,0.201086957,0.467592593,0.179347826,0.509259259,0.456521739,0,0,0,0,0.402777778,0.461956522,0.097222222,0.635869565,0.074074074,0.239130435,0.847222222,0.451086957,0.861111111,0.423913043,0,0
laying,0,0,0.064814815,0.461956522,0.041666667,0.461956522,0.018518519,0.423913043,0.018518519,0.385869565,0.092592593,0.461956522,0.101851852,0.429347826,0.101851852,0.385869565,0.055555556,0.456521739,0.023148148,0.418478261,0,0,0.087962963,0.456521739,0.101851852,0.423913043,0.101851852,0.385869565,0,0,0,0,0.069444444,0.456521739
laying,0,0,0.064814815,0.461956522,0.041666667,0.461956522,0.018518519,0.423913043,0.018518519,0.385869565,0.092592593,0.461956522,0.101851852,0.429347826,0.101851852,0.385869565,0.055555556,0.456521739,0.023148148,0.418478261,0,0,0.087962963,0.456521739,0.101851852,0.423913043,0.101851852,0.385869565,0,0,0,0,0.069444444,0.456521739
laying,0.75462963,0.60326087,0.685185185,0.548913043,0.680555556,0.60326087,0,0,0,0,0.680555556,0.5,0.583333333,0.35326087,0.481481481,0.211956522,0.430555556,0.548913043,0,0,0,0,0.430555556,0.527173913,0.277777778,0.701086957,0.148148148,0.461956522,0.773148148,0.625,0.763888889,0.586956522,0,0
laying,0.611111111,0.461956522,0.541666667,0.423913043,0.560185185,0.423913043,0,0,0,0,0.532407407,0.402173913,0.486111111,0.554347826,0.486111111,0.657608696,0.37037037,0.440217391,0,0,0,0,0.356481481,0.451086957,0.226851852,0.565217391,0.152777778,0.369565217,0,0,0,0,0,0
laying,0.657407407,0.516304348,0.662037037,0.391304348,0.648148148,0.407608696,0,0,0,0,0.680555556,0.375,0.657407407,0.157608696,0.546296296,0.152173913,0.462962963,0.282608696,0,0,0,0,0.476851852,0.217391304,0.333333333,0.418478261,0.185185185,0.206521739,0.662037037,0.538043478,0.680555556,0.527173913,0,0
laying,0.796296296,0.375,0.689814815,0.282608696,0.671296296,0.358695652,0,0,0,0,0.699074074,0.211956522,0.574074074,0.195652174,0.444444444,0.190217391,0.435185185,0.331521739,0.425925926,0.684782609,0,0,0.453703704,0.288043478,0.421296296,0.679347826,0.194444444,0.711956522,0.814814815,0.380434783,0.814814815,0.347826087,0,0
laying,0.62037037,0.744565217,0.694444444,0.619565217,0.740740741,0.60326087,0.75,0.380434783,0.685185185,0.434782609,0.648148148,0.630434783,0.518518519,0.472826087,0.546296296,0.565217391,0.601851852,0.25,0,0,0,0,0.555555556,0.260869565,0.37962963,0.472826087,0.203703704,0.211956522,0,0,0.625,0.77173913,0,0
laying,0.680555556,0.445652174,0.675925926,0.375,0.666666667,0.483695652,0.560185185,0.527173913,0.50462963,0.543478261,0.694444444,0.27173913,0.708333333,0.135869565,0.75462963,0.266304348,0.458333333,0.407608696,0.300925926,0.711956522,0,0,0.462962963,0.331521739,0.305555556,0.652173913,0.217592593,0.27173913,0.689814815,0.461956522,0.699074074,0.434782609,0,0
laying,0.726851852,0.369565217,0.657407407,0.320652174,0.652777778,0.380434783,0,0,0,0,0.657407407,0.260869565,0.560185185,0.206521739,0.462962963,0.217391304,0.467592593,0.358695652,0.375,0.581521739,0,0,0.467592593,0.342391304,0.375,0.586956522,0.24537037,0.679347826,0.740740741,0.375,0.74537037,0.342391304,0,0
laying,0.726851852,0.369565217,0.657407407,0.320652174,0.652777778,0.380434783,0,0,0,0,0.657407407,0.260869565,0.560185185,0.206521739,0.462962963,0.217391304,0.467592593,0.358695652,0.375,0.581521739,0,0,0.467592593,0.342391304,0.375,0.586956522,0.24537037,0.679347826,0.740740741,0.375,0.74537037,0.342391304,0,0
laying,0.717592593,0.619565217,0.666666667,0.527173913,0.736111111,0.467391304,0,0,0,0,0.615740741,0.592391304,0.643518519,0.64673913,0,0,0.453703704,0.494565217,0,0,0,0,0.449074074,0.505434783,0.333333333,0.668478261,0.282407407,0.369565217,0,0,0.731481481,0.614130435,0,0
laying,0.717592593,0.619565217,0.666666667,0.527173913,0.736111111,0.467391304,0,0,0,0,0.615740741,0.592391304,0.643518519,0.64673913,0,0,0.453703704,0.494565217,0,0,0,0,0.449074074,0.505434783,0.333333333,0.668478261,0.282407407,0.369565217,0,0,0.731481481,0.614130435,0,0
laying,0.671296296,0.418478261,0.606481481,0.364130435,0.611111111,0.413043478,0.587962963,0.418478261,0,0,0.597222222,0.315217391,0.5,0.282608696,0.398148148,0.293478261,0.430555556,0.385869565,0.37962963,0.657608696,0,0,0.439814815,0.375,0.365740741,0.608695652,0.310185185,0.364130435,0.685185185,0.423913043,0.685185185,0.39673913,0,0
laying,0.652777778,0.391304348,0.611111111,0.347826087,0.611111111,0.39673913,0.550925926,0.472826087,0.490740741,0.548913043,0.611111111,0.298913043,0.523148148,0.39673913,0.467592593,0.5,0.462962963,0.304347826,0,0,0,0,0.458333333,0.309782609,0.412037037,0.581521739,0.328703704,0.385869565,0.662037037,0.407608696,0.671296296,0.380434783,0,0
laying,0.527777778,0.380434783,0.513888889,0.336956522,0.523148148,0.391304348,0.518518519,0.445652174,0.513888889,0.5,0.5,0.320652174,0.50462963,0.456521739,0.513888889,0.5,0.444444444,0.375,0.407407407,0.472826087,0,0,0.453703704,0.358695652,0.393518519,0.445652174,0.342592593,0.35326087,0,0,0.537037037,0.380434783,0,0
laying,0.782407407,0.391304348,0.712962963,0.342391304,0.712962963,0.407608696,0.703703704,0.532608696,0.708333333,0.706521739,0.708333333,0.277173913,0.680555556,0.260869565,0,0,0.513888889,0.369565217,0.430555556,0.64673913,0,0,0.527777778,0.35326087,0.425925926,0.60326087,0.347222222,0.320652174,0.796296296,0.39673913,0.796296296,0.380434783,0,0
