Position,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,NeckX,NeckY,NeckZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,HandTipLeftX,HandTipLeftY,HandTipLeftZ,ThumbLeftX,ThumbLeftY,ThumbLeftZ,HandTipRightX,HandTipRightY,HandTipRightZ,ThumbRightX,ThumbRightY,ThumbRightZ
Sitting,-0.2178142,0.1865352,1.91175,-0.1602593,0.359135,1.868509,-0.104909,0.5239068,1.820654,-0.04042925,0.6387272,1.808516,-0.2409816,0.4549755,1.793342,-0.3554203,0.3027683,1.709373,-0.2443294,0.1969607,1.569495,-0.1674581,0.1483236,1.473194,0.002097635,0.4360124,1.903382,0.07082892,0.2730701,1.902445,0.1403757,0.1863617,1.785736,0.1924742,0.1700296,1.643952,-0.2814449,0.1660207,1.845887,-0.3678359,0.312582,1.67312,-0.2682256,0.02261323,1.546042,-0.2296613,-0.01295224,1.449161,-0.1480929,0.2017421,1.923394,0.08689573,0.2550894,1.898082,0.07296236,0.3646266,2.192399,0.04435819,0.2992152,2.093553,-0.119447,0.4841705,1.834988,-0.1543529,0.09966104,1.44662,-0.1321984,0.1445983,1.521412,0.21931,0.1422885,1.608364,0.140247,0.1414866,1.642571
Sitting,-0.213576,0.1902392,1.907784,-0.1481077,0.3659929,1.853223,-0.08292096,0.5342857,1.787952,-0.02079574,0.6456277,1.778688,-0.2166347,0.4570718,1.75147,-0.3280843,0.3212843,1.677008,-0.2365498,0.197359,1.537133,-0.1813182,0.1523972,1.470316,0.01674059,0.4415447,1.879966,0.08080552,0.2737764,1.889963,0.1456373,0.1752686,1.789695,0.1984508,0.1651708,1.644759,-0.2770057,0.1699976,1.84194,-0.3624752,0.313465,1.667542,-0.2656524,0.02059523,1.543272,-0.2239987,-0.02092353,1.451248,-0.1441279,0.2050517,1.919163,0.09532638,0.256441,1.886698,0.0813023,0.3661758,2.181566,0.0508416,0.2995152,2.084338,-0.09904878,0.4934335,1.805924,-0.1603385,0.1108261,1.444199,-0.1346932,0.1572818,1.521566,0.2301377,0.1299333,1.611162,0.1427609,0.1428038,1.6755
Sitting,-0.2204112,0.2023914,1.892339,-0.1466608,0.3738561,1.840834,-0.07475498,0.5402364,1.777306,-0.01231768,0.6498529,1.767322,-0.2097424,0.4645162,1.742992,-0.3246936,0.3218329,1.674173,-0.2348284,0.1961405,1.534554,-0.1859506,0.1616119,1.482668,0.02192961,0.4493838,1.867409,0.08456137,0.2798824,1.884516,0.1636286,0.2035646,1.729477,0.1987006,0.1679454,1.649069,-0.287454,0.1860514,1.822254,-0.3664685,0.3239103,1.639307,-0.2717131,0.02907867,1.517149,-0.2307518,-0.0133447,1.425147,-0.1478594,0.2135558,1.90745,0.09553571,0.256335,1.886572,0.08149846,0.3661664,2.181703,0.05105471,0.2994877,2.084484,-0.09274775,0.4995746,1.795119,-0.1620522,0.1115808,1.445079,-0.1426329,0.1606208,1.517882,0.2311673,0.1340213,1.610919,0.150374,0.1462862,1.66051
Sitting,-0.2141843,0.2081618,1.894062,-0.1395486,0.3813682,1.836638,-0.06531852,0.5500354,1.76613,-0.00326746,0.6579586,1.75651,-0.2030484,0.4749864,1.733585,-0.3158104,0.330457,1.668679,-0.2333896,0.1956031,1.532798,-0.1876146,0.161523,1.485698,0.02514654,0.4564278,1.861255,0.0912108,0.2763217,1.88022,0.1434611,0.1630821,1.788467,0.1998419,0.164283,1.651292,-0.2810639,0.1900208,1.825884,-0.3625343,0.25926,1.602412,-0.2609082,-0.03478989,1.483891,-0.2194409,-0.07794119,1.393165,-0.141153,0.2213458,1.907462,0.09411653,0.2022915,1.886063,0.08008609,0.3124864,2.181171,0.04814813,0.2495171,2.081574,-0.08380163,0.5088629,1.785717,-0.1628453,0.112394,1.449628,-0.1434146,0.1590691,1.522087,0.2320457,0.1280053,1.618315,0.1716677,0.1540231,1.625692
Sitting,-0.2237148,0.2274789,1.887533,-0.140272,0.3926859,1.829578,-0.06078171,0.5555552,1.76039,0.002995065,0.6638548,1.748948,-0.2002369,0.4815424,1.728955,-0.3125921,0.335477,1.666205,-0.2925037,0.1695781,1.59359,-0.2700102,0.1675208,1.562626,0.03473824,0.475421,1.85207,0.09335115,0.2808205,1.876052,0.1663888,0.1804498,1.709031,0.1927836,0.1699799,1.659517,-0.2980931,0.2210799,1.813044,-0.3677454,0.2538488,1.575881,-0.2665356,-0.04041081,1.457226,-0.2292491,-0.1306005,1.4527,-0.1450455,0.2304938,1.90546,0.09553045,0.2930596,1.896677,0.08149836,0.402651,2.191808,0.05158668,0.3342102,2.095253,-0.08043641,0.5155139,1.779673,-0.2631692,0.1266789,1.499093,-0.2170644,0.195284,1.5015,0.2289257,0.1344005,1.622893,0.1724506,0.1554419,1.624697
Sitting,-0.2235,0.2299936,1.88896,-0.1393318,0.3974263,1.828481,-0.05771062,0.5617439,1.75614,0.006728559,0.6684483,1.745389,-0.1988629,0.4886602,1.725109,-0.3128514,0.3368838,1.665441,-0.2924405,0.1734679,1.594171,-0.2651247,0.173356,1.561776,0.03812746,0.4817732,1.851929,0.09404676,0.2860978,1.874742,0.1597577,0.1917122,1.769917,0.1925564,0.1708709,1.664401,-0.2957022,0.2208165,1.816964,-0.3670008,0.2531814,1.580216,-0.2666979,-0.04152112,1.460535,-0.2301361,-0.1321962,1.454883,-0.1465715,0.2376192,1.905586,0.09593972,0.2423504,1.870513,-0.1343996,0.162742,1.870638,-0.1460978,0.08954488,1.776105,-0.07797129,0.5215271,1.776157,-0.2602176,0.1319542,1.493915,-0.2081591,0.1999111,1.510895,0.2287143,0.1348678,1.625803,0.1451879,0.1438497,1.677111
Sitting,-0.2210942,0.232196,1.893394,-0.1390275,0.3981085,1.829957,-0.05802726,0.561456,1.756903,0.008496461,0.6713372,1.745031,-0.1983394,0.4928125,1.723757,-0.313741,0.3438821,1.66518,-0.2929422,0.1772393,1.594865,-0.2621684,0.1779198,1.561716,0.03954747,0.4850271,1.852045,0.09556813,0.2890989,1.873465,0.1601495,0.1899757,1.772563,0.1873528,0.172059,1.670419,-0.2892053,0.2193179,1.825786,-0.3838091,0.283285,1.606568,-0.2807939,-0.01023126,1.484359,-0.239753,-0.05627268,1.394774,-0.1459278,0.2408521,1.90803,0.09835462,0.2400261,1.866472,-0.1332409,0.1632355,1.871672,-0.1466041,0.08943223,1.77806,-0.07813893,0.5214664,1.776915,-0.2627556,0.1321786,1.496736,-0.2089651,0.2029856,1.521607,0.2273145,0.1375866,1.630327,0.1476944,0.1469622,1.667294
Sitting,-0.2142356,0.2387184,1.916702,-0.1377347,0.4007065,1.83799,-0.05853271,0.5614149,1.757965,0.009219667,0.6744559,1.74629,-0.1983673,0.4957531,1.724183,-0.3154275,0.3461977,1.666052,-0.293341,0.1783042,1.595874,-0.2612367,0.1805967,1.563168,0.03992664,0.4872282,1.852882,0.09610897,0.2911935,1.87355,0.1574549,0.204713,1.758664,0.1836602,0.1728678,1.674967,-0.2817253,0.2197435,1.84973,-0.3705014,0.293046,1.630949,-0.2721519,-0.003316273,1.509282,-0.2325597,-0.05231307,1.421058,-0.1406071,0.2513449,1.928878,0.09993491,0.2393329,1.864902,-0.1254336,0.1444496,1.874142,-0.1406572,0.07334973,1.77833,-0.07849315,0.5217667,1.778926,-0.2609363,0.1405134,1.498206,-0.209251,0.2032445,1.529107,0.2268893,0.1379215,1.633913,0.1458803,0.1468303,1.672958
Sitting,-0.2143093,0.237687,1.918204,-0.1380392,0.4005037,1.841317,-0.05993164,0.5611572,1.76057,0.008149134,0.6780895,1.752434,-0.1996229,0.4969044,1.727029,-0.321301,0.3419024,1.66824,-0.3013012,0.1882093,1.607105,-0.2731042,0.1822517,1.577325,0.03961732,0.4879085,1.854938,0.09409682,0.2936533,1.886673,0.151395,0.1929585,1.773679,0.1701975,0.1739045,1.687388,-0.2814361,0.218101,1.851335,-0.3705963,0.3012861,1.63681,-0.2737173,0.003854472,1.514362,-0.2343581,-0.04497001,1.425701,-0.1409867,0.2506726,1.930265,0.08808784,0.1995662,1.903095,-0.1496045,0.141906,1.873227,-0.1629514,0.06971336,1.778159,-0.07958558,0.5216362,1.781944,-0.267606,0.1432172,1.512806,-0.2142975,0.2067587,1.544211,0.196934,0.1571233,1.638644,0.1328084,0.1446136,1.694834
Sitting,-0.2173997,0.2351495,1.918635,-0.1407754,0.4012819,1.846404,-0.06423749,0.5660669,1.773153,0.002653053,0.6787475,1.764866,-0.2029012,0.4993331,1.738145,-0.3245709,0.3450738,1.67353,-0.3026398,0.1867385,1.609691,-0.2758681,0.1815811,1.582332,0.02762397,0.4819318,1.87529,0.0926237,0.2890536,1.897527,0.1486451,0.199315,1.773823,0.1707863,0.1750647,1.687644,-0.2838299,0.2160401,1.851782,-0.3748915,0.2681943,1.62697,-0.2731234,-0.02458333,1.495497,-0.2312198,-0.0706098,1.406472,-0.144864,0.2475549,1.930507,0.08935515,0.2381153,1.894479,-0.135288,0.1375453,1.878861,-0.1520884,0.06596398,1.783974,-0.08341858,0.5254952,1.792682,-0.2697113,0.1387331,1.513328,-0.2160786,0.2042991,1.549105,0.1944139,0.1569831,1.641348,0.1308566,0.1442911,1.697
